"","age","Mspline_tlcoSI_Male","Mspline_tlcoSI_Female","Mspline_kcoSI_Male","Mspline_kcoSI_Female","Mspline_vaSI_Male","Mspline_vaSI_Female","Mspline_tlcoTr_Male","Mspline_tlcoTr_Female","Mspline_kcoTr_Male","Mspline_kcoTr_Female"
"1",5,-0.116094101621069,-0.180901244145523,-0.120840225859462,-0.0504789288710512,0.00910194865577552,-0.125301533339741,-0.116094106574206,-0.180901248076244,-0.120840231449606,-0.0504789324879775
"2",5.25,-0.119634476690273,-0.173775537867751,-0.118429101588612,-0.048151798907857,0.00275845665654373,-0.122519993727732,-0.119634480865385,-0.173775541464398,-0.118429107505669,-0.0481518021991256
"3",5.5,-0.122905539457728,-0.166946055795232,-0.116094492674387,-0.0459186716132027,-0.00321683587077359,-0.11981006986373,-0.12290554289709,-0.166946059073645,-0.11609449891108,-0.0459186745956988
"4",5.75,-0.125873478090877,-0.160370539008011,-0.113805879059254,-0.0437654310311846,-0.00882091207763125,-0.117137949522059,-0.125873480837027,-0.160370541983019,-0.113805885615678,-0.0437654337208633
"5",6,-0.128515865863656,-0.154014094734306,-0.111539524938679,-0.0416804799535542,-0.0140555333299179,-0.114477518513665,-0.128515867958875,-0.154014097419802,-0.111539531820557,-0.0416804823654875
"6",6.25,-0.130802460516728,-0.147845035188897,-0.109268175015797,-0.0396534008318343,-0.0189179551867742,-0.1118050114284,-0.13080246200381,-0.147845037598059,-0.109268182234745,-0.0396534029803766
"7",6.5,-0.132685357880526,-0.141832720525974,-0.106955779589476,-0.0376742466109015,-0.0233961572659833,-0.109096308556495,-0.132685358804191,-0.141832722671505,-0.106955787164337,-0.0376742485099015
"8",6.75,-0.134127766910311,-0.135951411853318,-0.104572907491594,-0.0357346989249709,-0.0274827868511007,-0.106332374378745,-0.134127767316603,-0.135951413747467,-0.104572915446989,-0.0357347005877751
"9",7,-0.135104461812258,-0.130179826808354,-0.102096986202482,-0.0338279515182065,-0.0311753966602097,-0.103498730788729,-0.135104461747858,-0.130179828462902,-0.102096994567336,-0.0338279529576546
"10",7.25,-0.135597588356051,-0.124502629310495,-0.0995115607107793,-0.0319510413897435,-0.0344738292063216,-0.100583576935747,-0.135597587867517,-0.12450263073679,-0.0995115695148772,-0.0319510426182257
"11",7.5,-0.135594198676738,-0.118910070200108,-0.0968053774588311,-0.0301049621883296,-0.0373788842684792,-0.0975769206448067,-0.135594197809804,-0.118910071409105,-0.0968053867289651,-0.0301049632178678
"12",7.75,-0.135087297389878,-0.113394018022708,-0.0939703822472948,-0.0282906082594585,-0.0398938842220407,-0.094471350662344,-0.135087296189251,-0.113394019024963,-0.0939703920073192,-0.0282906091016937
"13",8,-0.134074721708917,-0.10794746362583,-0.0910009850787148,-0.0265085492682351,-0.0420242109982141,-0.0912616016333931,-0.134074720218148,-0.107947464431514,-0.091000995349896,-0.0265085499344186
"14",8.25,-0.132558996673277,-0.102565078066368,-0.0878941813796406,-0.0247595526134265,-0.0437772877111833,-0.0879447419272505,-0.13255899493457,-0.102565078685305,-0.0878941921805416,-0.0247595531144302
"15",8.5,-0.130553279317516,-0.0972471932011985,-0.0846536864315737,-0.0230471906512766,-0.0451658862609943,-0.0845232879460696,-0.130553277370608,-0.0972471936431534,-0.0846536977748751,-0.0230471909976098
"16",8.75,-0.128075413439829,-0.0919959071449554,-0.0812860989604673,-0.0213755476383355,-0.0462049193771801,-0.0810017681568187,-0.128075411321638,-0.0919959074197001,-0.0812861108520972,-0.021375547840158
"17",9,-0.125143062894926,-0.0868127394515845,-0.0777977547537567,-0.0197478646113383,-0.0469088175478696,-0.0773846215284877,-0.125143060639799,-0.0868127395688463,-0.0777977671939243,-0.0197478646784619
"18",9.25,-0.121773553749307,-0.0816987240024432,-0.074194699043399,-0.0181666759375805,-0.0472914790948114,-0.0736761664496353,-0.121773551389245,-0.0816987239718658,-0.0741947120274835,-0.0181666758794812
"19",9.5,-0.117983963917901,-0.0766546195308262,-0.0704827916064743,-0.0166339336888219,-0.0473663082997557,-0.0698808678940797,-0.117983961482769,-0.0766546193619391,-0.0704828051257671,-0.0166339335146475
"20",9.75,-0.113797424694393,-0.0716836186134335,-0.0666714311429062,-0.015151248955573,-0.0471481157737728,-0.0660092403714376,-0.113797422212091,-0.0716836183156122,-0.0666714451847139,-0.0151512486742762
"21",10,-0.109243765518983,-0.0667908811827704,-0.0627739634966953,-0.0137199441843707,-0.0466533273336154,-0.0620766675770632,-0.109243763015607,-0.0667908807652218,-0.0627739780443002,-0.013719943804829
"22",10.25,-0.104350727649242,-0.0619806858398144,-0.0588025693675189,-0.0123409626681066,-0.0458973708393273,-0.058096910070784,-0.104350725149235,-0.0619806853115534,-0.0588025844007722,-0.0123409621990929
"23",10.5,-0.0991436343364054,-0.0572564497109038,-0.0547680894729918,-0.0110149238960098,-0.0448945948270421,-0.0540820598197644,-0.0991436318626819,-0.057256449080751,-0.0547681049688671,-0.0110149233461794
"24",10.75,-0.0936456451346608,-0.0526208556261496,-0.0506801865005415,-0.00974217600207528,-0.0436583620627111,-0.0500427517213975,-0.0936456427087311,-0.0526208549027256,-0.0506802024336088,-0.00974217537994626
"25",11,-0.0878779976000459,-0.0480759790574474,-0.0465474947393711,-0.00852283554671018,-0.0422011409689613,-0.0459883957117881,-0.087877995242116,-0.0480759782491624,-0.0465475110822058,-0.00852283486065364
"26",11.25,-0.0818663159713076,-0.0436246716278763,-0.0423809116900058,-0.00735652952610399,-0.0405370127794988,-0.0419307426113065,-0.0818663137000613,-0.0436246707428589,-0.0423809284139187,-0.00735652878423032
"27",11.5,-0.0756483679397402,-0.0392712484438258,-0.0381976368857009,-0.00624228762446943,-0.0386847564929802,-0.0378856271764754,-0.0756483657716842,-0.0392712474898156,-0.0381976539618831,-0.00624228683449157
"28",11.75,-0.0692600460387069,-0.0350194033386693,-0.0340139135820867,-0.00517906056278106,-0.0366622727968373,-0.0338674073411926,-0.0692600439882876,-0.0350194023230284,-0.0340139309818412,-0.00517905973202293
"29",12,-0.0627334410777518,-0.0308721044770577,-0.0298440395012074,-0.0041657796138308,-0.0344858192970356,-0.0298886398407898,-0.062733439157558,-0.0308721034067947,-0.0298440571960232,-0.00416577874924862
"30",12.25,-0.0560972662130634,-0.026831690946449,-0.0257005946323572,-0.00320136491559619,-0.0321701816142301,-0.025960294598363,-0.0560972644340065,-0.0268316898282439,-0.0257006125939676,-0.00320136402380911
"31",12.5,-0.0493772283534089,-0.0228999562596384,-0.0215946399773337,-0.00228473232117743,-0.0297288240996725,-0.0220919415293075,-0.0493772267248884,-0.0228999550998594,-0.0215946581777686,-0.00228473140848262
"32",12.75,-0.0425963541992349,-0.0190782204016058,-0.0175358913361423,-0.0014147985402202,-0.0271740229156379,-0.0182919142868467,-0.0425963527292961,-0.0190782192063308,-0.0175359097477661,-0.00141479761261643
"33",13,-0.035777023973548,-0.0153670202374991,-0.0135332143638709,-0.000589833968996256,-0.0245184309435817,-0.0145682755895624,-0.0357770226689045,-0.0153670190124631,-0.0135332329596691,-0.000589833032120346
"34",13.25,-0.0289483763788638,-0.0117654984651523,-0.00959616165489674,0.000193698631871353,-0.0217811070657881,-0.0109304127665339,-0.0289483752445463,-0.0117654972155874,-0.00959618040980192,0.000193699572953676
"35",13.5,-0.0221393929940668,-0.00827245241479169,-0.00573368957408782,0.000939388362086735,-0.0189816949684545,-0.0073869357204206,-0.0221393920334378,-0.00827245114543373,-0.00573370846525112,0.000939389302867966
"36",13.75,-0.0153759512311566,-0.00488657503470691,-0.0019536448763291,0.00165052437036328,-0.016137900628765,-0.00394533280135967,-0.0153759504460735,-0.00488657374983514,-0.00195366388293916,0.00165052530684928
"37",14,-0.00868114358281069,-0.00160647386313428,0.0017371155107182,0.00233012395729792,-0.0132656852643454,-0.000612094055922441,-0.00868114297378497,-0.00160647256661051,0.00173709640760533,0.00233012488596174
"38",14.25,-0.00207556292907896,0.00156931260255089,0.00533261810221752,0.00298095768365547,-0.010379438556436,0.00260717981122305,-0.0020755624954063,0.00156931390724235,0.00533259891982762,0.00298095860139735
"39",14.5,0.00442244382482038,0.00464230078072259,0.0088276785624295,0.00360557184426513,-0.00749213295876316,0.00570768095334806,0.00442244408492876,0.0046423020904518,0.00882765931641183,0.00360557274837525
"40",14.75,0.010796549897222,0.00761404981633973,0.0122178179982466,0.00420630861875493,-0.00461546138728508,0.0086853088161245,0.0107965499865328,0.0076140511282965,0.0122177987027969,0.00420630950687695
"41",15,0.0170322758459527,0.0104862089748154,0.0154992023058851,0.0047852944270157,-0.00175994969387538,0.0115368786993741,0.0170322757681083,0.0104862102864836,0.0154991829738695,0.00478529529712546
"42",15.25,0.023117670092029,0.0132610359049377,0.0186689894641638,0.00534418535900549,0.00106525117202594,0.0142626454127228,0.0231176698514366,0.0132610372140824,0.018668970107413,0.0053441862094008
"43",15.5,0.0290432017516871,0.0159410847998229,0.0217252963043153,0.00588433800346477,0.00385228628461043,0.0168647491238634,0.0290432013534216,0.0159410861044611,0.0217252769339229,0.00588433883275119
"44",15.75,0.0348005527652013,0.018528833406684,0.0246666345250519,0.00640701081287176,0.00659411497234785,0.0193453618879431,0.0348005522149224,0.0185288347050676,0.024666615151435,0.00640701161994084
"45",16,0.0403824411569396,0.0210266805868731,0.0274918407576701,0.00691337435420314,0.00928441358774101,0.0217066561314301,0.0403824404608439,0.0210266818774718,0.0274918213906163,0.00691337513820223
"46",16.25,0.045782520276445,0.0234369488103958,0.0302000417719404,0.00740451831122169,0.0119175094424762,0.0239507984339848,0.045782519441194,0.0234369500918801,0.0302000224206473,0.00740451907153616
"47",16.5,0.0509952882521532,0.0257618866334601,0.0327906233565205,0.00788145784717331,0.0144883212689777,0.0260799442252022,0.0509952872848318,0.0257618879046806,0.0327906040296315,0.00788145858340616
"48",16.75,0.056016006529152,0.0280036711477871,0.0352632024577897,0.00834513939461834,0.01699230549848,0.0280962332781733,0.0560160054372103,0.0280036724077686,0.035263183163432,0.00834514010656839
"49",17,0.0608406265001786,0.030164410387008,0.0376176022135248,0.00879644592967654,0.0194254077307079,0.0300017858936741,0.0608406252913953,0.0301644116349262,0.0376175829593399,0.00879644661732559
"50",17.25,0.0654657235805711,0.0322461457668277,0.0398538296776256,0.00923620215873999,0.0217840189553549,0.0317986986224632,0.0654657222630153,0.0322461470020068,0.0398538104708015,0.00923620282223681
"51",17.5,0.069888622403921,0.0342508123366123,0.0419721519356,0.00966497711638414,0.0240650276161549,0.0334896169886942,0.0698886209858989,0.034250813558506,0.0419721327828877,0.00966497775602182
"52",17.75,0.0741103084959285,0.0361800709609685,0.0439746212740659,0.0100822721147384,0.0262672560166202,0.0350800602305519,0.0741103069857143,0.0361800721691168,0.0439746021816871,0.0100822727309193
"53",18,0.0781345768191191,0.0380354737388044,0.0458646412500712,0.0104873077130021,0.0283910291126404,0.0365761859653801,0.0781345752247491,0.0380354749328262,0.0458646222236467,0.0104873083062174
"54",18.25,0.0819652483562816,0.039818540296233,0.0476455266353621,0.0108793830117793,0.0304367847909148,0.0379837738139521,0.081965246685554,0.0398185414758139,0.047645507679952,0.0108793835825995
"55",18.5,0.0856060810445882,0.0415307577950186,0.0493204646106098,0.0112578689335945,0.0324050224452996,0.0393082521967258,0.0856060793050801,0.0415307589599152,0.0493204457307495,0.0112578694826668
"56",18.75,0.0890607291339478,0.0431735810812395,0.0508925032914842,0.0116222022370041,0.0342962780508724,0.0405547225830372,0.0890607273330133,0.0431735822312653,0.0508924844912206,0.011622202765043
